Протокол,IP,Port,Страна
HTTP,104.131.103.230,80,US
HTTP,104.155.15.30,80,BE
HTTP,107.173.160.222,1080,US
HTTP,13.92.20.105,9080,US
HTTP,138.124.73.27,8118,DE
HTTP,139.162.200.213,80,GB
HTTP,141.253.118.174,80,FR
HTTP,141.98.153.86,80,DE
HTTP,142.93.202.130,3128,US
HTTP,147.231.163.133,80,CZ
HTTP,149.202.91.219,80,FR
HTTP,149.248.215.39,8081,US
HTTP,150.136.163.51,80,US
HTTP,154.64.232.35,8080,US
HTTP,157.90.10.15,31281,DE
HTTP,157.90.10.15,31284,DE
HTTP,157.90.10.15,3129,DE
HTTP,157.90.10.15,31292,DE
HTTP,157.90.10.15,31294,DE
HTTP,157.90.10.15,31295,DE
HTTP,157.90.10.15,31296,DE
HTTP,157.90.10.15,4570,DE
HTTP,157.90.10.15,45701,DE
HTTP,157.90.10.15,45702,DE
HTTP,157.90.10.15,50000,DE
HTTP,157.90.10.15,51050,DE
HTTP,157.90.10.15,51550,DE
HTTP,157.90.10.15,57555,DE
HTTP,157.90.10.15,6060,DE
HTTP,157.90.10.15,7060,DE
HTTP,157.90.10.15,80,DE
HTTP,157.90.10.15,8030,DE
HTTP,159.65.221.25,80,US
HTTP,159.65.230.46,8888,US
HTTP,159.65.245.255,80,US
HTTP,162.240.154.26,3128,US
HTTP,162.240.19.30,80,US
HTTP,163.172.53.142,80,FR
HTTP,167.71.182.192,80,US
HTTP,167.99.122.154,3000,US
HTTP,172.200.72.48,80,US
HTTP,173.212.245.136,8888,FR
HTTP,174.138.119.88,80,US
HTTP,176.100.39.55,3128,DE
HTTP,178.212.144.7,80,PL
HTTP,185.144.158.1,80,US
HTTP,185.162.60.45,8080,HU
HTTP,185.198.27.38,3128,FR
HTTP,185.21.11.140,1080,SE
HTTP,185.230.190.195,3128,FI
HTTP,185.230.191.240,3128,FI
HTTP,185.41.152.110,3128,FR
HTTP,188.165.199.207,80,FR
HTTP,192.241.147.174,80,US
HTTP,194.150.110.134,80,DK
HTTP,195.26.224.135,80,NL
HTTP,2.27.32.81,3128,US
HTTP,2.27.40.180,1080,NL
HTTP,20.127.128.70,8080,US
HTTP,202.133.88.173,80,FR
HTTP,206.188.196.40,80,NL
HTTP,212.127.95.235,8081,PL
HTTP,212.231.191.23,80,ES
HTTP,212.34.146.118,3128,NL
HTTP,212.47.232.28,80,FR
HTTP,212.58.132.5,8888,US
HTTP,213.136.87.65,80,FR
HTTP,216.200.63.52,8080,US
HTTP,23.247.136.254,80,US
HTTP,34.102.241.71,80,US
HTTP,34.116.179.210,80,PL
HTTP,34.122.187.196,80,US
HTTP,34.127.40.229,80,US
HTTP,34.136.200.110,80,US
HTTP,34.140.137.151,80,BE
HTTP,34.44.49.215,80,US
HTTP,34.79.221.197,80,BE
HTTP,34.83.88.197,80,US
HTTP,34.86.121.195,80,US
HTTP,35.209.198.222,80,US
HTTP,37.187.74.125,80,FR
HTTP,38.180.2.107,3128,BG
HTTP,38.60.196.214,80,GB
HTTP,40.89.145.14,80,FR
HTTP,45.10.163.12,80,DE
HTTP,45.56.71.129,1081,US
HTTP,45.77.157.199,80,US
HTTP,45.79.221.107,1080,US
HTTP,46.101.95.183,8888,GB
HTTP,46.249.100.124,80,DE
HTTP,46.35.9.110,80,FR
HTTP,47.251.73.54,4145,US
HTTP,47.251.74.38,3128,US
HTTP,47.251.87.199,1080,US
HTTP,47.251.87.74,4444,US
HTTP,47.252.1.180,7302,US
HTTP,47.252.11.233,999,US
HTTP,47.252.18.37,8080,US
HTTP,47.253.71.33,55443,US
HTTP,47.254.153.78,999,DE
HTTP,47.254.158.115,8081,DE
HTTP,47.254.36.213,6379,US
HTTP,47.85.51.197,1080,US
HTTP,47.88.11.3,3129,US
HTTP,47.89.159.212,8443,US
HTTP,47.89.184.18,3128,US
HTTP,47.90.149.238,9050,US
HTTP,47.90.167.27,3128,US
HTTP,47.91.65.23,3128,DE
HTTP,47.91.89.3,1080,DE
HTTP,5.9.55.221,5000,DE
HTTP,51.141.175.118,80,US
HTTP,51.49.153.183,3129,ES
HTTP,52.226.76.91,80,US
HTTP,52.229.30.3,80,US
HTTP,62.210.215.36,80,FR
HTTP,62.60.237.68,8080,FI
HTTP,65.108.203.36,28080,FI
HTTP,65.109.213.99,1080,FI
HTTP,77.110.116.224,3128,AT
HTTP,77.38.244.214,80,LV
HTTP,79.110.196.134,8081,PL
HTTP,79.110.200.148,8081,PL
HTTP,79.110.200.27,8000,PL
HTTP,79.110.202.131,8081,PL
HTTP,8.208.26.210,80,GB
HTTP,8.208.84.236,7657,GB
HTTP,8.208.90.194,8088,GB
HTTP,8.209.68.1,8081,DE
HTTP,8.209.96.245,1099,DE
HTTP,8.209.96.245,80,DE
HTTP,8.211.194.78,5800,GB
HTTP,8.211.194.78,8080,GB
HTTP,8.211.194.85,8008,GB
HTTP,8.211.195.139,100,GB
HTTP,8.211.195.139,8081,GB
HTTP,8.211.195.173,20002,GB
HTTP,8.211.195.173,8443,GB
HTTP,8.211.200.183,10000,GB
HTTP,8.211.200.183,9080,GB
HTTP,8.211.42.167,104,DE
HTTP,8.211.42.167,80,DE
HTTP,8.211.49.86,119,DE
HTTP,8.211.49.86,7777,DE
HTTP,8.211.51.115,3129,DE
HTTP,8.211.51.115,8080,DE
HTTP,80.74.54.148,3128,DE
