Протокол,IP/Config,Port,Страна
HTTP,102.129.170.166,37234,US
HTTP,12.50.107.217,80,US
HTTP,12.50.107.219,80,US
HTTP,12.50.107.220,80,US
HTTP,12.50.107.221,80,US
HTTP,12.50.107.222,80,US
HTTP,129.80.238.83,444,US
HTTP,149.104.68.53,1080,US
HTTP,2.27.32.117,3128,FI
HTTP,209.135.168.41,80,US
HTTP,212.58.132.5,8888,GB
HTTP,216.200.63.52,8080,US
HTTP,23.185.200.94,37514,US
HTTP,23.190.168.41,80,US
HTTP,38.127.172.45,37234,US
HTTP,38.76.150.163,1080,US
HTTP,65.155.249.100,8080,US
HTTP,75.84.71.14,80,US
SOCKS4,107.173.8.4,9000,US
SOCKS4,165.140.185.49,39593,US
SOCKS4,174.75.211.193,4145,US
SOCKS4,174.77.111.196,4145,US
SOCKS4,174.77.111.197,4145,US
SOCKS4,184.178.172.11,4145,US
SOCKS4,184.178.172.14,4145,US
SOCKS4,184.178.172.18,15280,US
SOCKS4,184.178.172.23,4145,US
SOCKS4,184.178.172.28,15294,US
SOCKS4,184.178.172.5,15303,US
SOCKS4,184.181.217.201,4145,US
SOCKS4,184.181.217.206,4145,US
SOCKS4,184.181.217.210,4145,US
SOCKS4,184.181.217.213,4145,US
SOCKS4,184.181.217.220,4145,US
SOCKS4,184.182.240.12,4145,US
SOCKS4,184.185.2.12,4145,US
SOCKS4,72.195.101.99,4145,US
SOCKS4,72.195.114.169,4145,US
SOCKS4,72.195.34.35,27360,US
SOCKS4,72.195.34.41,4145,US
SOCKS4,72.195.34.58,4145,US
SOCKS4,72.205.0.67,4145,US
SOCKS4,72.207.109.5,4145,US
SOCKS4,72.223.188.92,4145,US
SOCKS4,72.56.106.48,1080,DE
SOCKS4,8.39.228.193,39593,US
SOCKS4,98.170.57.241,4145,US
SOCKS4,98.175.31.222,4145,US
SOCKS4,98.178.72.30,4145,US
SOCKS4,98.181.137.83,4145,US
SOCKS4,98.182.147.97,4145,US
SOCKS4,98.182.171.161,4145,US
SOCKS4,98.190.239.3,4145,US
SOCKS4,98.191.0.37,4145,US
SOCKS5,142.248.80.110,1080,US
SOCKS5,154.219.125.240,58367,US
SOCKS5,174.75.211.222,4145,US
SOCKS5,184.178.172.17,4145,US
SOCKS5,212.58.132.5,1080,GB
SOCKS5,23.133.196.7,9000,US
SOCKS5,50.114.206.152,5555,US
SOCKS5,72.56.106.186,1080,DE
