Протокол,IP/Config,Port,Страна
HTTP,12.50.107.217,80,US
HTTP,12.50.107.219,80,US
HTTP,12.50.107.220,80,US
HTTP,12.50.107.221,80,US
HTTP,12.50.107.222,80,US
HTTP,142.250.68.110,80,US
HTTP,142.251.10.155,80,US
HTTP,147.75.88.115,10036,US
HTTP,147.75.88.115,10049,US
HTTP,147.75.88.115,9443,US
HTTP,172.200.72.48,80,US
HTTP,174.138.119.88,80,US
HTTP,23.247.136.254,80,US
HTTP,34.44.49.215,80,US
HTTP,38.127.179.236,37234,US
HTTP,47.251.74.38,50,US
HTTP,47.251.74.38,8081,US
HTTP,47.251.87.74,9080,US
HTTP,47.252.11.233,8080,US
HTTP,47.252.18.37,999,US
HTTP,47.254.36.213,8000,US
HTTP,47.254.36.213,8083,US
HTTP,47.90.149.238,8008,US
HTTP,52.226.76.91,80,US
HTTP,52.229.30.3,80,US
HTTP,64.233.189.164,80,US
HTTP,65.155.249.100,8080,US
SOCKS4,142.54.239.1,4145,US
SOCKS4,184.178.172.14,4145,US
SOCKS4,184.178.172.17,4145,US
SOCKS4,184.181.217.213,4145,US
SOCKS4,184.182.240.12,4145,US
SOCKS4,184.182.240.211,4145,US
SOCKS4,184.185.2.12,4145,US
SOCKS4,192.111.137.34,18765,US
SOCKS4,192.252.215.5,16137,US
SOCKS4,198.8.94.174,39078,US
SOCKS4,216.68.128.121,4145,US
SOCKS4,68.1.210.189,4145,US
SOCKS4,72.195.34.58,4145,US
SOCKS4,72.223.188.92,4145,US
SOCKS4,98.175.31.222,4145,US
SOCKS4,98.178.72.30,4145,US
SOCKS4,98.182.147.97,4145,US
SOCKS4,98.188.47.150,4145,US
SOCKS5,142.54.226.214,4145,US
SOCKS5,174.75.211.222,4145,US
SOCKS5,184.178.172.3,4145,US
SOCKS5,184.181.178.33,4145,US
SOCKS5,184.181.217.194,4145,US
SOCKS5,184.181.217.206,4145,US
SOCKS5,192.111.130.2,4145,US
SOCKS5,192.111.139.162,4145,US
SOCKS5,192.252.216.81,4145,US
SOCKS5,198.8.84.3,4145,US
SOCKS5,34.174.40.246,1080,US
SOCKS5,47.147.19.149,1080,US
SOCKS5,72.195.114.169,4145,US
SOCKS5,72.195.114.184,4145,US
SOCKS5,72.207.33.64,4145,US
SOCKS5,98.190.239.3,4145,US
