Протокол,IP/Config,Port,Страна
SOCKS4,142.54.239.1,4145,US
SOCKS4,184.178.172.14,4145,US
SOCKS4,184.178.172.17,4145,US
SOCKS4,184.181.217.213,4145,US
SOCKS4,184.182.240.12,4145,US
SOCKS4,184.182.240.211,4145,US
SOCKS4,184.185.2.12,4145,US
SOCKS4,192.111.137.34,18765,US
SOCKS4,192.252.215.5,16137,US
SOCKS4,198.8.94.174,39078,US
SOCKS4,216.68.128.121,4145,US
SOCKS4,68.1.210.189,4145,US
SOCKS4,72.195.34.58,4145,US
SOCKS4,72.223.188.92,4145,US
SOCKS4,98.175.31.222,4145,US
SOCKS4,98.178.72.30,4145,US
SOCKS4,98.182.147.97,4145,US
SOCKS4,98.188.47.150,4145,US
