Protocol,IP/Config,Port,Country
HTTP,147.75.88.114,10001,US
HTTP,147.75.88.114,80,US
HTTP,178.156.224.42,3128,US
HTTP,2.26.92.56,3128,US
HTTP,208.84.100.78,3128,US
HTTP,209.145.54.41,3129,US
HTTP,216.200.63.52,8080,US
HTTP,23.190.168.41,80,US
HTTP,38.127.172.34,37234,US
HTTP,38.127.172.7,37234,US
HTTP,38.127.179.19,37234,US
HTTP,5.161.196.81,8888,US
HTTP,5.161.50.82,8118,US
HTTP,5.61.27.184,443,US
HTTP,50.210.166.34,80,US
HTTP,65.155.249.100,8080,US
HTTP,66.111.113.34,80,US
HTTP,92.118.112.32,1081,US
SOCKS5,142.248.80.110,1080,US
SOCKS5,154.219.125.240,58367,US
SOCKS5,174.64.199.79,4145,US
SOCKS5,174.64.199.82,4145,US
SOCKS5,174.75.211.222,4145,US
SOCKS5,174.77.111.197,4145,US
SOCKS5,184.178.172.11,4145,US
SOCKS5,184.178.172.13,15311,US
SOCKS5,184.178.172.14,4145,US
SOCKS5,184.178.172.23,4145,US
SOCKS5,184.178.172.26,4145,US
SOCKS5,184.178.172.28,15294,US
SOCKS5,184.178.172.3,4145,US
SOCKS5,184.178.172.5,15303,US
SOCKS5,184.181.217.194,4145,US
SOCKS5,184.181.217.210,4145,US
SOCKS5,184.181.217.213,4145,US
SOCKS5,184.181.217.220,4145,US
SOCKS5,184.182.240.12,4145,US
SOCKS5,184.185.2.12,4145,US
SOCKS5,193.25.215.182,22222,US
SOCKS5,208.102.51.6,58208,US
SOCKS5,208.109.32.79,9050,US
SOCKS5,216.227.168.244,9111,US
SOCKS5,216.227.168.245,9111,US
SOCKS5,216.227.168.246,9111,US
SOCKS5,216.227.168.3,9111,US
SOCKS5,216.68.128.121,4145,US
SOCKS5,23.133.196.13,9000,US
SOCKS5,23.133.196.7,9000,US
SOCKS5,23.133.196.9,9000,US
SOCKS5,24.249.199.12,4145,US
SOCKS5,24.249.199.4,4145,US
SOCKS5,38.60.205.220,1011,US
SOCKS5,5.61.27.184,443,US
SOCKS5,66.42.224.229,41679,US
SOCKS5,68.1.210.189,4145,US
SOCKS5,68.224.16.30,9100,US
SOCKS5,69.61.200.104,36181,US
SOCKS5,70.166.167.55,57745,US
SOCKS5,72.195.101.99,4145,US
SOCKS5,72.195.114.184,4145,US
SOCKS5,72.195.34.35,27360,US
SOCKS5,72.195.34.41,4145,US
SOCKS5,72.195.34.42,4145,US
SOCKS5,72.195.34.58,4145,US
SOCKS5,72.205.0.93,4145,US
SOCKS5,72.206.74.126,4145,US
SOCKS5,72.207.109.5,4145,US
SOCKS5,72.207.113.97,4145,US
SOCKS5,72.207.33.64,4145,US
SOCKS5,72.214.108.67,4145,US
SOCKS5,72.223.188.67,4145,US
SOCKS5,72.49.49.11,31034,US
SOCKS5,77.110.126.90,1080,US
SOCKS5,92.118.112.32,1082,US
SOCKS5,98.170.57.241,4145,US
SOCKS5,98.175.31.195,4145,US
SOCKS5,98.175.31.222,4145,US
SOCKS5,98.178.72.30,4145,US
SOCKS5,98.181.137.83,4145,US
SOCKS5,98.182.147.97,4145,US
SOCKS5,98.182.171.161,4145,US
SOCKS5,98.188.47.132,4145,US
SOCKS5,98.188.47.150,4145,US
SOCKS5,98.190.239.3,4145,US
SOCKS5,98.191.0.37,4145,US
SOCKS5,98.191.0.47,4145,US
