Протокол,IP/Config,Port,Страна
SOCKS5,142.248.80.110,1080,US
SOCKS5,154.219.125.240,58367,US
SOCKS5,174.64.199.79,4145,US
SOCKS5,174.75.211.193,4145,US
SOCKS5,174.77.111.196,4145,US
SOCKS5,174.77.111.198,49547,US
SOCKS5,184.178.172.11,4145,US
SOCKS5,184.178.172.13,15311,US
SOCKS5,184.178.172.17,4145,US
SOCKS5,184.178.172.18,15280,US
SOCKS5,184.178.172.23,4145,US
SOCKS5,184.178.172.25,15291,US
SOCKS5,184.178.172.28,15294,US
SOCKS5,184.178.172.3,4145,US
SOCKS5,184.178.172.5,15303,US
SOCKS5,184.181.178.33,4145,US
SOCKS5,184.181.217.194,4145,US
SOCKS5,184.181.217.201,4145,US
SOCKS5,184.181.217.206,4145,US
SOCKS5,184.181.217.210,4145,US
SOCKS5,184.181.217.213,4145,US
SOCKS5,184.181.217.220,4145,US
SOCKS5,184.182.240.12,4145,US
SOCKS5,193.25.215.182,22222,US
SOCKS5,208.102.51.6,58208,US
SOCKS5,216.68.128.121,4145,US
SOCKS5,24.249.199.4,4145,US
SOCKS5,50.114.206.152,5555,US
SOCKS5,66.42.224.229,41679,US
SOCKS5,67.210.146.50,11080,US
SOCKS5,68.1.210.163,4145,US
SOCKS5,68.1.210.189,4145,US
SOCKS5,69.61.200.104,36181,US
SOCKS5,70.166.167.38,57728,US
SOCKS5,70.166.167.55,57745,US
SOCKS5,70.166.65.160,4145,US
SOCKS5,72.195.114.169,4145,US
SOCKS5,72.195.34.59,4145,US
SOCKS5,72.195.34.60,27391,US
SOCKS5,72.205.0.67,4145,US
SOCKS5,72.205.0.93,4145,US
SOCKS5,72.206.74.126,4145,US
SOCKS5,72.207.113.97,4145,US
SOCKS5,72.207.33.64,4145,US
SOCKS5,72.214.108.67,4145,US
SOCKS5,72.223.188.92,4145,US
SOCKS5,72.49.49.11,31034,US
SOCKS5,76.144.40.133,9051,US
SOCKS5,98.170.57.231,4145,US
SOCKS5,98.170.57.241,4145,US
SOCKS5,98.170.57.249,4145,US
SOCKS5,98.178.72.21,10919,US
SOCKS5,98.178.72.30,4145,US
SOCKS5,98.181.137.80,4145,US
SOCKS5,98.182.147.97,4145,US
SOCKS5,98.182.171.161,4145,US
SOCKS5,98.188.47.132,4145,US
SOCKS5,98.188.47.150,4145,US
SOCKS5,98.190.239.3,4145,US
SOCKS5,98.191.0.37,4145,US
SOCKS5,98.191.0.47,4145,US
